event	index	total	model_rel_path	status	elapsed_ms	note
start	51	1448	realworld/ptolemy/flattened/algebraic_rlc_RLC.elkt	-	0	-
end	51	1448	realworld/ptolemy/flattened/algebraic_rlc_RLC.elkt	ok	3	-
start	52	1448	realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkg	-	0	-
end	52	1448	realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkg	ok	12	-
start	53	1448	realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkt	-	0	-
end	53	1448	realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkt	ok	11	-
start	54	1448	realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkg	-	0	-
end	54	1448	realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkg	ok	18	-
start	55	1448	realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkt	-	0	-
end	55	1448	realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkt	ok	18	-
start	56	1448	realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkg	-	0	-
end	56	1448	realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkg	ok	3	-
start	57	1448	realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkt	-	0	-
end	57	1448	realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkt	ok	3	-
start	58	1448	realworld/ptolemy/flattened/aspect_compositeqm_CompositeQM.elkg	-	0	-
end	58	1448	realworld/ptolemy/flattened/aspect_compositeqm_CompositeQM.elkg	ok	2	-
start	59	1448	realworld/ptolemy/flattened/aspect_compositeqm_CompositeQM.elkt	-	0	-
end	59	1448	realworld/ptolemy/flattened/aspect_compositeqm_CompositeQM.elkt	ok	3	-
start	60	1448	realworld/ptolemy/flattened/aspect_de_DE2.elkg	-	0	-
end	60	1448	realworld/ptolemy/flattened/aspect_de_DE2.elkg	ok	7	-
start	61	1448	realworld/ptolemy/flattened/aspect_de_DE2.elkt	-	0	-
end	61	1448	realworld/ptolemy/flattened/aspect_de_DE2.elkt	ok	6	-
start	62	1448	realworld/ptolemy/flattened/backtrack_primetest_PrimeTest.elkg	-	0	-
end	62	1448	realworld/ptolemy/flattened/backtrack_primetest_PrimeTest.elkg	ok	8	-
start	63	1448	realworld/ptolemy/flattened/backtrack_primetest_PrimeTest.elkt	-	0	-
end	63	1448	realworld/ptolemy/flattened/backtrack_primetest_PrimeTest.elkt	ok	8	-
start	64	1448	realworld/ptolemy/flattened/backtrack_ramprollback_RampRollback.elkg	-	0	-
end	64	1448	realworld/ptolemy/flattened/backtrack_ramprollback_RampRollback.elkg	ok	4	-
start	65	1448	realworld/ptolemy/flattened/backtrack_ramprollback_RampRollback.elkt	-	0	-
end	65	1448	realworld/ptolemy/flattened/backtrack_ramprollback_RampRollback.elkt	ok	4	-
start	66	1448	realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkg	-	0	-
end	66	1448	realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkg	ok	6	-
