event	index	total	model_rel_path	status	elapsed_ms	note
start	84	110	tickets/layered/546_borderGaps.elkt	-	0	-
end	84	110	tickets/layered/546_borderGaps.elkt	ok	0	-
start	85	110	tickets/layered/548_NPEWithInsideSelfLoops.elkt	-	0	-
end	85	110	tickets/layered/548_NPEWithInsideSelfLoops.elkt	ok	0	-
start	86	110	tickets/layered/552_hierarchySelfLoopPorts.elkt	-	0	-
end	86	110	tickets/layered/552_hierarchySelfLoopPorts.elkt	ok	0	-
start	87	110	tickets/layered/587_polylineSplinesNPE.elkt	-	0	-
end	87	110	tickets/layered/587_polylineSplinesNPE.elkt	ok	0	-
start	88	110	tickets/layered/588_hierarchicalLayoutNPE.elkt	-	0	-
end	88	110	tickets/layered/588_hierarchicalLayoutNPE.elkt	skipped_java_non_ok	0	java status was `error`
start	89	110	tickets/layered/596_outsideHierarchicalPortLabels.elkt	-	0	-
end	89	110	tickets/layered/596_outsideHierarchicalPortLabels.elkt	ok	0	-
start	90	110	tickets/layered/599_unimportantPortIndex.elkt	-	0	-
end	90	110	tickets/layered/599_unimportantPortIndex.elkt	ok	0	-
start	91	110	tickets/layered/600_outgoingEdgeInLastSeparateNode.elkt	-	0	-
end	91	110	tickets/layered/600_outgoingEdgeInLastSeparateNode.elkt	ok	0	-
start	92	110	tickets/layered/603_labelOverlaps.elkt	-	0	-
end	92	110	tickets/layered/603_labelOverlaps.elkt	ok	0	-
start	93	110	tickets/layered/608_unnecessaryCrossingMinimization.elkt	-	0	-
end	93	110	tickets/layered/608_unnecessaryCrossingMinimization.elkt	ok	0	-
start	94	110	tickets/layered/623_layerConstraintProcessing.elkt	-	0	-
end	94	110	tickets/layered/623_layerConstraintProcessing.elkt	ok	0	-
start	95	110	tickets/layered/623_layerConstraintProcessingWithInteractivity.elkt	-	0	-
end	95	110	tickets/layered/623_layerConstraintProcessingWithInteractivity.elkt	ok	0	-
start	96	110	tickets/layered/628_hierarchyAwareLayoutProcessor.elkt	-	0	-
end	96	110	tickets/layered/628_hierarchyAwareLayoutProcessor.elkt	ok	0	-
start	97	110	tickets/layered/656_brokenLayoutPartitions.elkt	-	0	-
end	97	110	tickets/layered/656_brokenLayoutPartitions.elkt	ok	0	-
start	98	110	tickets/layered/665_includeChildrenDoesntStop.elkt	-	0	-
end	98	110	tickets/layered/665_includeChildrenDoesntStop.elkt	ok	0	-
start	99	110	tickets/layered/685_hierarchicalSpike.elkt	-	0	-
end	99	110	tickets/layered/685_hierarchicalSpike.elkt	ok	0	-
start	100	110	tickets/layered/686_hierachicalGap.elkt	-	0	-
end	100	110	tickets/layered/686_hierachicalGap.elkt	ok	0	-
start	101	110	tickets/layered/700_brokenHierarchyHandling.elkt	-	0	-
end	101	110	tickets/layered/700_brokenHierarchyHandling.elkt	ok	0	-
start	102	110	tickets/layered/701_portLabels.elkt	-	0	-
end	102	110	tickets/layered/701_portLabels.elkt	ok	5	-
start	103	110	tickets/layered/724_includeChildrenModelOrder.elkt	-	0	-
end	103	110	tickets/layered/724_includeChildrenModelOrder.elkt	ok	0	-
start	104	110	tickets/layered/726_edgesMissingBendPoints.elkt	-	0	-
end	104	110	tickets/layered/726_edgesMissingBendPoints.elkt	ok	2	-
start	105	110	tickets/layered/734_nodeEdgeSpacingFlat.elkt	-	0	-
end	105	110	tickets/layered/734_nodeEdgeSpacingFlat.elkt	ok	0	-
start	106	110	tickets/layered/734_nodeEdgeSpacingFlatMoreComplex.elkt	-	0	-
end	106	110	tickets/layered/734_nodeEdgeSpacingFlatMoreComplex.elkt	ok	0	-
start	107	110	tickets/layered/734_nodeEdgeSpacingHierarchical.elkt	-	0	-
end	107	110	tickets/layered/734_nodeEdgeSpacingHierarchical.elkt	ok	0	-
start	108	110	tickets/layered/870_networkSimplexNodePlacer.elkt	-	0	-
end	108	110	tickets/layered/870_networkSimplexNodePlacer.elkt	ok	0	-
start	109	110	tickets/layered/905_beginLabelAboveEdge.elkt	-	0	-
end	109	110	tickets/layered/905_beginLabelAboveEdge.elkt	ok	0	-
start	110	110	tickets/layered/905_beginLableBellowEdge.elkt	-	0	-
end	110	110	tickets/layered/905_beginLableBellowEdge.elkt	ok	0	-
